Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8167.1,98005.20,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),web,Amazon EC2 ,0,837.307,10047.68,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (r6gd.8xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (512 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),app,Amazon EC2 ,0,907.971,10895.65,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c6g.16xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (512 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1943.36,23320.32,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.r7g.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Initial_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,2304,27648.00,USD,,S3 Standard storage (100 TB per month)
Initial_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
Initial_Cost_Estimate,US East (N. Virginia),,Amazon Route 53,0,581.75,6981.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (300), Number of Elastic Network Interfaces (5)"
Initial_Cost_Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections ()"
Initial_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,,Number of NAT Gateways (1)
Initial_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,542.03,6504.36,USD,,Number of Application Load Balancers (1)
Initial_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,542.03,6504.36,USD,,Number of Application Load Balancers (1)
Initial_Cost_Estimate,US East (N. Virginia),,Amazon CloudWatch,0,15,180.00,USD,,Number of Metrics (includes detailed and custom metrics) (50)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
